"Edit","Expert ID","Department","Title","Year","Pub.Date","Author(s)","Journal","Volume","Pages","Issue","DOI","EID","Publication Type","Scopus Indexed","WOS Indexed","UGC CARE - B","Crossref Citation","Scopus Citation","Access"
"1354550","94431","Department of Electronics and Communication Engineering","Design and implementation of a floating point matrix inversion module using model based programming","2019","2019-12-01","Chetan S.;Lekshmi V.;Sudhakar S.;Manikandan J.","2019 IEEE 16th India Council International Conference, INDICON 2019 - Symposium Proceedings","","","","10.1109/INDICON47234.2019.9030370","2-s2.0-85083037814","Conference Paper","Y","N","N","0","3","4"
"1354551","94431","Department of Electronics and Communication Engineering","Design and evaluation of BPSK demodulator using model based programming","2019","2019-12-01","Sourabh K.S.;Deepika R.;Lekshmi V.;Sudhakar S.;Manikandan J.","2019 IEEE 16th India Council International Conference, INDICON 2019 - Symposium Proceedings","","","","10.1109/INDICON47234.2019.9030277","2-s2.0-85083040238","Conference Paper","Y","N","N","0","1","4"
"1354552","94431","Department of Electronics and Communication Engineering","Design and evaluation of speech based emotion recognition system using support vector machines","2019","2019-12-01","Harshini D.;Pranjali B.;Ranjitha M.;Rushali J.;Manikandan J.","2019 IEEE 16th India Council International Conference, INDICON 2019 - Symposium Proceedings","","","","10.1109/INDICON47234.2019.9029030","2-s2.0-85083037394","Conference Paper","Y","N","N","1","1","4"
"1354553","94431","Department of Electronics and Communication Engineering","Design and implementation of a novel QPSK demodulator for FPGA based system design","2019","2019-11-01","Deepika R.;Sourabh K.S.;Manikandan J.","2019 5th IEEE International WIE Conference on Electrical and Computer Engineering, WIECON-ECE 2019 - Proceedings","","","","10.1109/WIECON-ECE48653.2019.9019948","2-s2.0-85082110310","Conference Paper","Y","N","N","2","3","4"
"1354554","94431","Department of Electronics and Communication Engineering","Design of real-time drowsiness detection system using dlib","2019","2019-11-01","Mohanty S.;Hegde S.V.;Prasad S.;Manikandan J.","2019 5th IEEE International WIE Conference on Electrical and Computer Engineering, WIECON-ECE 2019 - Proceedings","","","","10.1109/WIECON-ECE48653.2019.9019910","2-s2.0-85082135222","Conference Paper","Y","N","N","24","14","4"
"1354555","94431","Department of Electronics and Communication Engineering","Design and evaluation of a system-on-chip based modulator","2019","2019-03-01","Singh V.;Manikandan J.","2019 International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2019","","13-17","","10.1109/WiSPNET45539.2019.9032847","2-s2.0-85083269474","Conference Paper","Y","N","N","0","0","4"
"1354556","94431","Department of Electronics and Communication Engineering","Design and Evaluation of LiFi Module for Audio Applications","2018","2018-12-01","Ali S.H.;Shivakumar P.;Girish R.;Manikandan J.","INDICON 2018 - 15th IEEE India Council International Conference","","","","10.1109/INDICON45594.2018.8987134","2-s2.0-85082623894","Conference Paper","Y","N","N","3","5","4"
"1354557","94431","Department of Electronics and Communication Engineering","Design and Evaluation of a Real-Time Character Recognition System","2018","2018-11-30","Sarathy S.;Manikandan J.","2018 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2018","","519-525","","10.1109/ICACCI.2018.8554539","2-s2.0-85060011210","Conference Paper","Y","N","N","1","2","4"
"1354558","94431","Department of Electronics and Communication Engineering","Design of a 1kW Underwater Wireless Charging Station for Underwater Data Gathering Systems","2018","2018-11-30","Manikandan J.;Vishwanath A.;Korulla M.","2018 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2018","","211-216","","10.1109/ICACCI.2018.8554936","2-s2.0-85060063694","Conference Paper","Y","N","N","3","10","4"
"1354559","94431","Department of Electronics and Communication Engineering","Design and Evaluation of a Real-Time Speech Recognition System","2018","2018-11-30","Shruthi S.;Yashaswi G.;Shruti V.;Manikandan J.","2018 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2018","","425-430","","10.1109/ICACCI.2018.8554921","2-s2.0-85060018248","Conference Paper","Y","N","N","2","1","4"
"1354560","94431","Department of Electronics and Communication Engineering","Stock Market Prediction Using Optimum Threshold Based Relevance Vector Machines","2018","2018-06-13","Karthik H.S.;Nishanth V.A.;Manikandan J.","Proceedings - 22nd International Conference on Advanced Computing and Communication, ADCOM 2016","","21-26","","10.1109/ADCOM.2016.13","2-s2.0-85050021033","Conference Paper","Y","N","N","2","1","4"
"1354561","94431","Department of Electronics and Communication Engineering","Design and Development of a Mobile Wireless Video Streaming Mote","2018","2018-05-01","Bhuvanesh D.;Hegde M.;Manikandan J.","Wireless Personal Communications","100","477-489","2","10.1007/s11277-017-5093-3","2-s2.0-85015940171","Article","Y","Y","N","1","1","4"
"1354562","94431","Department of Electronics and Communication Engineering","Evaluation of relevance vector machine classifier for a real-time face recognition system","2018","2018-03-07","Karthik H.S.;Manikandan J.","2017 IEEE International Conference on Consumer Electronics-Asia, ICCE-Asia 2017","2018-January","26-30","","10.1109/ICCE-ASIA.2017.8307832","2-s2.0-85050630987","Conference Paper","Y","N","N","12","10","4"
"1354563","94431","Department of Electronics and Communication Engineering","FPGA implementation of blind source separation using a novel ICA algorithm","2018","2018-03-07","Singh V.;Somani V.K.;Manikandan J.","2017 IEEE International Conference on Consumer Electronics-Asia, ICCE-Asia 2017","2018-January","67-71","","10.1109/ICCE-ASIA.2017.8307845","2-s2.0-85050660548","Conference Paper","Y","N","N","4","6","4"
"1354564","94431","Department of Electronics and Communication Engineering","An approach towards novel video steganography for consumer electronics","2018","2018-03-07","Sushmitha M.C.;Suresh H.N.;Manikandan J.","2017 IEEE International Conference on Consumer Electronics-Asia, ICCE-Asia 2017","2018-January","72-76","","10.1109/ICCE-ASIA.2017.8307831","2-s2.0-85050601163","Conference Paper","Y","N","N","6","10","4"
"1354565","94431","Department of Electronics and Communication Engineering","Design of a phoneme based voice controlled home automation system","2018","2018-03-07","Karan G.B.;Kumar D.;Pai K.;Manikandan J.","2017 IEEE International Conference on Consumer Electronics-Asia, ICCE-Asia 2017","2018-January","31-35","","10.1109/ICCE-ASIA.2017.8307835","2-s2.0-85050605789","Conference Paper","Y","N","N","6","8","4"
"1354566","94431","Department of Electronics and Communication Engineering","Study and evaluation of different topologies in wireless sensor network","2018","2018-02-21","Santha Meena S.;Manikandan J.","Proceedings of the 2017 International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2017","2018-January","107-111","","10.1109/WiSPNET.2017.8299729","2-s2.0-85046335457","Conference Paper","Y","N","N","7","9","4"
"1354567","94431","Department of Electronics and Communication Engineering","Design and evaluation of reconfigurable filters","2018","2018-02-21","Kumar E.S.;Joshi M.S.;Manikandan J.;Agrawal V.K.","Proceedings of the 2017 International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2017","2018-January","2021-2026","","10.1109/WiSPNET.2017.8300116","2-s2.0-85046376571","Conference Paper","Y","N","N","1","1","4"
"1354568","94431","Department of Electronics and Communication Engineering","FPGA implementation of reconfigurable adaptive filters","2018","2018-02-21","Shiva A.;Senthilkumar E.;Manikandan J.;Agrawal V.K.","Proceedings of the 2017 International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2017","2018-January","2544-2547","","10.1109/WiSPNET.2017.8300221","2-s2.0-85046373817","Conference Paper","Y","N","N","5","5","4"
"1354569","94431","Department of Electronics and Communication Engineering","FPGA implementation of fast running FIR filters","2018","2018-02-21","Rengaprakash S.;Vignesh M.;Anwar N.S.;Pragadheesh M.;Senthilkumar E.;Sandhya M.;Manikandan J.","Proceedings of the 2017 International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2017","2018-January","1282-1286","","10.1109/WiSPNET.2017.8299970","2-s2.0-85046340502","Conference Paper","Y","N","N","6","6","4"
"1354570","94431","Department of Electronics and Communication Engineering","Design of a real-time human emotion recognition system","2018","2018-01-01","Ashwin D.V.;Kumar A.;Manikandan J.","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","218","177-188","","10.1007/978-3-319-73423-1_16","2-s2.0-85039150121","Conference Paper","Y","N","N","0","1","4"
"1354571","94431","Department of Electronics and Communication Engineering","Design and implementation of FPGA based reconfigurable modulator for satellite applications","2017","2017-12-19","Bhandarkar K.;Goutham T.;Manikandan J.;Rao V.S.","IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December","1427-1432","","10.1109/TENCON.2017.8228082","2-s2.0-85044190040","Conference Paper","Y","N","N","3","3","4"
"1354572","94431","Department of Electronics and Communication Engineering","Hardware implementation of support vector machine classifier using reconfigurable architecture","2017","2017-11-30","Kumar S.;Manikandan J.;Agrawal V.K.","2017 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2017","2017-January","45-50","","10.1109/ICACCI.2017.8125814","2-s2.0-85042931301","Conference Paper","Y","N","N","4","6","4"
"1354573","94431","Department of Electronics and Communication Engineering","Design and evaluation of SAR image compression system for airborne vehicles","2017","2017-10-16","Sushmitha M.C.;Manikandan J.","TENSYMP 2017 - IEEE International Symposium on Technologies for Smart Cities","","","","10.1109/TENCONSpring.2017.8069985","2-s2.0-85039988041","Conference Paper","Y","N","N","0","1","4"
"1354574","94431","Department of Electronics and Communication Engineering","Design of a real-time pedestrian detection system for autonomous vehicles","2017","2017-10-16","Harshitha R.;Manikandan J.","TENSYMP 2017 - IEEE International Symposium on Technologies for Smart Cities","","","","10.1109/TENCONSpring.2017.8069981","2-s2.0-85039980096","Conference Paper","Y","N","N","7","7","4"
"1354575","94431","Department of Electronics and Communication Engineering","Design and evaluation of wireless home automation systems","2017","2017-02-13","Manikandan J.","1st IEEE International Conference on Power Electronics, Intelligent Control and Energy Systems, ICPEICES 2016","","","","10.1109/ICPEICES.2016.7853323","2-s2.0-85015920951","Conference Paper","Y","N","N","10","8","4"
"1354576","94431","Department of Electronics and Communication Engineering","Design and evaluation of logistic regression model for pattern recognition systems","2017","2017-01-31","Rao P.;Manikandan J.","2016 IEEE Annual India Conference, INDICON 2016","","","","10.1109/INDICON.2016.7839010","2-s2.0-85015231969","Conference Paper","Y","N","N","4","4","4"
"1354577","94431","Department of Electronics and Communication Engineering","SAR image compression using optimum threshold based support vector machines","2017","2017-01-31","Kaushik K.;Manikandan J.","2016 IEEE Annual India Conference, INDICON 2016","","","","10.1109/INDICON.2016.7838996","2-s2.0-85015147299","Conference Paper","Y","N","N","2","3","4"
"1354578","94431","Department of Electronics and Communication Engineering","Design of distributed arithmetic based reconfigurable filters","2017","2017-01-31","Sandhya M.;Senthilkumar E.;Manikandan J.","2016 IEEE Annual India Conference, INDICON 2016","","","","10.1109/INDICON.2016.7838911","2-s2.0-85015201988","Conference Paper","Y","N","N","1","3","4"
"1354579","94431","Department of Electronics and Communication Engineering","Design and evaluation of a fast half-against-half support vector machine classifier","2016","2016-11-16","Manikandan J.","2016 International Conference on Signal Processing and Communications, SPCOM 2016","","","","10.1109/SPCOM.2016.7746674","2-s2.0-85004190373","Conference Paper","Y","N","N","0","0","4"
"1354580","94431","Department of Electronics and Communication Engineering","Design and implementation of reconfigurable coders for communication systems","2016","2016-10-17","Manikandan J.;Shruthi S.;Mangala S.J.;Agrawal V.K.","2016 International Conference on VLSI Systems, Architectures, Technology and Applications, VLSI-SATA 2016","","","","10.1109/VLSI-SATA.2016.7593063","2-s2.0-84995470801","Conference Paper","Y","N","N","3","4","4"
"1354581","94431","Department of Electronics and Communication Engineering","Indigenous design and development of underwater wireless power transfer system","2016","2016-09-06","Manikandan J.;Vishwanath A.;Agrawal V.K.;Korulla M.","2016 22nd National Conference on Communication, NCC 2016","","","","10.1109/NCC.2016.7561099","2-s2.0-84988909697","Conference Paper","Y","N","N","11","12","4"
"1354582","94431","Department of Electronics and Communication Engineering","Dimensions of clustering in wireless sensor network","2016","2016-06-10","Meena S.S.;Bhajantri S.;Manikandan J.","Proceedings - IEEE International Conference on Information Processing, ICIP 2015","","27-32","","10.1109/INFOP.2015.7489345","2-s2.0-84979296581","Conference Paper","Y","N","N","2","2","4"
"1354583","94431","Department of Electronics and Communication Engineering","Sparse representation using optimum threshold based relevance vector machine","2016","2016-03-29","Nishanth V.A.;Manikandan J.","12th IEEE International Conference Electronics, Energy, Environment, Communication, Computer, Control: (E3-C3), INDICON 2015","","","","10.1109/INDICON.2015.7443136","2-s2.0-84994342416","Conference Paper","Y","N","N","1","1","4"
"1354584","94431","Department of Electronics and Communication Engineering","SAR image compression using Relevance Vector Machines","2016","2016-03-29","Nishanth V.A.;Manikandan J.","12th IEEE International Conference Electronics, Energy, Environment, Communication, Computer, Control: (E3-C3), INDICON 2015","","","","10.1109/INDICON.2015.7443397","2-s2.0-84994259531","Conference Paper","Y","N","N","4","6","4"
"1354585","94431","Department of Electronics and Communication Engineering","Design and evaluation of universal modulators","2016","2016-03-29","Vaishnavi S.;Titiksha B.;Vinay R.J.;Manikandan J.","12th IEEE International Conference Electronics, Energy, Environment, Communication, Computer, Control: (E3-C3), INDICON 2015","","","","10.1109/INDICON.2015.7443273","2-s2.0-84994310749","Conference Paper","Y","N","N","3","4","4"
"1354586","94431","Department of Electronics and Communication Engineering","FPGA implementation of reconfigurable frequency demodulators","2016","2016-02-17","Senthilkumar E.;Santoshkumar N.V.;Manikandan J.;Agrawal V.K.","2015 International Conference on Computing and Network Communications, CoCoNet 2015","","310-317","","10.1109/CoCoNet.2015.7411204","2-s2.0-84964905649","Conference Paper","Y","N","N","1","1","4"
"1354587","94431","Department of Electronics and Communication Engineering","FPGA implementation of reconfigurable modulation system","2015","2015-09-24","Mangala J.;Manikandan J.","2015 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2015","","493-500","","10.1109/ICACCI.2015.7275657","2-s2.0-84946220863","Conference Paper","Y","N","N","15","16","4"
"1354588","94431","Department of Electronics and Communication Engineering","Design and evaluation of FPGA based frequency demodulators","2015","2015-09-24","Senthilkumar E.;Manikandan J.;Agrawal V.K.","2015 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2015","","668-674","","10.1109/ICACCI.2015.7275687","2-s2.0-84946202185","Conference Paper","Y","N","N","3","3","4"
"1354589","94431","Department of Electronics and Communication Engineering","Design and development of contactless battery charger for underwater vehicles","2015","2015-01-01","Manikandan J.;Akash S.;Vishwanath A.;Nandakumar R.;Agrawal V.K.;Korulla M.","IET Conference Publications","2015","362-367","CP683","10.1049/cp.2015.1659","2-s2.0-85002886450","Conference Paper","Y","N","N","7","9","4"
"1354590","94431","Department of Electronics and Communication Engineering","Digital circuit design using support vector machines","2014","2014-01-01","Manikandan J.;Agrawal V.K.","Proceedings - 2014 4th International Conference on Communication Systems and Network Technologies, CSNT 2014","","1114-1118","","10.1109/CSNT.2014.228","2-s2.0-84902602753","Conference Paper","Y","N","N","2","2","4"
"1354591","94431","Department of Electronics and Communication Engineering","FPGA implementation of dynamically tunable filters","2014","2014-11-26","Senthilkumar E.;Manikandan J.;Agrawal V.K.","Proceedings of the 2014 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2014","","1852-1857","","10.1109/ICACCI.2014.6968223","2-s2.0-84927674645","Conference Paper","Y","N","N","1","5","4"
"1354592","94431","Department of Electronics and Communication Engineering","Design and evaluation of N-module reconfigurable systems","2014","2014-01-01","Parikh K.Y.;Manikandan J.;Agrawal V.K.","Advances in Intelligent Systems and Computing","243","259-266","","10.1007/978-81-322-1665-0_25","2-s2.0-84927656049","Conference Paper","Y","N","N","1","1","4"
"1354593","94431","Department of Electronics and Communication Engineering","Quality metrics evaluation of hyperspectral images","2014","2014-01-01","Singh A.K.;Kumar H.V.;Kadambi G.R.;Kishore J.K.;Shuttleworth J.;Manikandan J.","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","40","1221-1226","8","10.5194/isprsarchives-XL-8-1221-2014","2-s2.0-84924279023","Conference Paper","Y","N","N","8","15","1"
"1354594","94431","Department of Electronics and Communication Engineering","Wireless sensor node for green environment","2013","2013-01-01","Manikandan J.;Niladri C.;Venugopal S.;Krishnamurthy V.;Agrawal V.K.","2013 International Conference on Human Computer Interactions, ICHCI 2013","","","","10.1109/ICHCI-IEEE.2013.6887785","2-s2.0-84907050442","Conference Paper","Y","N","N","4","4","4"
"1354599","346334","Department of Computer Science Engineering","Validity of forensic evidence using hash function","2020","0000-00-00","Pradeep K.C.;Soman R.;Honnavalli P.","Proceedings of the 5th International Conference on Communication and Electronics Systems, ICCES 2020","","823-826","","","2-s2.0-85091339700","Conference Paper","Y","N","N","0","0","0"
"1356265","94431","Department of Electronics and Communication Engineering","Chicken feather powder as corrosion inhibitor for aluminium in NaOH solution","2015","2015-04-01","Manikandan J.;Subramanian R.;Chinnadurai G.;Buvaneswari S.;Manikam N.;Musthafa A.M.","Asian Journal of Chemistry","27","1484-1488","4","10.14233/ajchem.2015.18560","2-s2.0-84964613601","Article","Y","N","N","1","2","4"
"1356266","94431","Department of Electronics and Communication Engineering","Molecular docking studies on novel phenyl hydrazine derivatives of piperidones for anticancer efficiency","2015","2015-07-16","Rajesh P.;Kumar M.D.;Jamunarani R.;Manikandan J.","Asian Journal of Chemistry","27","3969-3974","11","10.14233/ajchem.2015.19011","2-s2.0-84949952865","Article","Y","N","N","0","2","4"
"1359657","94427","Department of Computer Science Engineering","Bio-inspired computing paradigms","2017","2017-01-01","Natarajan S.","Innovations in E-Systems for Business and Commerce","","393-440","","10.1201/9781315207353","2-s2.0-85058600406","Book Chapter","Y","N","N","1","0","4"
"1360524","162098","Department of Biotechnology","The sensor region of the ubiquitous cytosolic sensor kinase, PdtaS, contains PAS and GAF domain sensing modules","2012","0000-00-00","Preu J.;Panjikar S.;Morth P.;Jaiswal R.;Karunakar P.;Tucker P.A.","Journal of Structural Biology","177","498-505","2","","2-s2.0-84857032024","Article","Y","Y","N","17","14","4"
"1360525","162189","Department of Computer Science Engineering","Efficient multimedia content storage and allocation in multidimensional cloud computing resources","2019","2019-01-01","Sivaraman E.;Manickachezian R.","International Journal of Intelligent Systems Technologies and Applications","18","20-33","1-2","10.1504/IJISTA.2019.097745","2-s2.0-85061333194","Article","Y","N","N","0","2","3"
"1360526","162189","Department of Computer Science Engineering","Unevenness measurement using the support vector machine and dynamic multiservice load balancing with modified genetic algorithm in cloud-based multimedia system","2018","2018-01-01","Sivaraman E.;Manickachezian R.","International Journal of Computer Aided Engineering and Technology","10","732-747","6","10.1504/IJCAET.2018.095210","2-s2.0-85054598764","Conference Paper","Y","N","N","1","1","4"
"1360531","162233","Department of Science and Humanities","Room temperature humidity sensing performance of polyaniline–holmium oxide composite","2019","2019-05-01","Manjunatha S.;Machappa T.;Ravikiran Y.T.;Chethan B.;Revanasiddappa M.","Applied Physics A: Materials Science and Processing","125","","5","10.1007/s00339-019-2638-1","2-s2.0-85064916184","Article","Y","N","N","30","24","4"
"1360532","162233","Department of Science and Humanities","Synthesis, characterization, ac conductivity and humidity sensing behaviour of polyaniline/BaFe<inf>12</inf>O<inf>19</inf> composite embedded with silver particles","2018","2018-06-08","Vinay K.;Shivakumar K.;Ravikiran Y.T.;Revanasiddappa M.;Raghavendra S.C.","2018 Advances in Science and Engineering Technology International Conferences, ASET 2018","","1-5","","10.1109/ICASET.2018.8376857","2-s2.0-85049976909","Conference Paper","Y","N","N","0","0","4"
"1360533","162233","Department of Science and Humanities","Synthesis, characterization and AC conductivity studies of silver doped conducting polyaniline/graphene/SrTiO<inf>3</inf> composites","2018","2018-05-08","Vinay K.;Shivakumar K.;Ravikiran Y.T.;Revanasiddappa M.","AIP Conference Proceedings","1953","","","10.1063/1.5032916","2-s2.0-85047373331","Conference Paper","Y","N","N","1","2","4"
"1360534","162233","Department of Science and Humanities","Electromagnetic shielding effectiveness studies on polyaniline/CSA-WO<inf>3</inf> composites at KU band frequencies","2018","2018-05-08","Sastry D.;Revanasiddappa M.;Suresh T.;Kiran Y.;Raghavendra S.","AIP Conference Proceedings","1953","","","10.1063/1.5032914","2-s2.0-85047299795","Conference Paper","Y","N","N","8","9","4"
"1360535","162233","Department of Science and Humanities","Spectroscopic studies, thermal behaviour and ac impedance study of chemically synthesized silver doped polyaniline / BaFe12O19 polymer composite","2018","2018-01-01","Vinay K.;Shivakumar K.;Ravikiran Y.T.;Revanasiddappa M.","International Journal of Engineering and Technology(UAE)","7","20-23","4","10.14419/ijet.v7i4.5.20001","2-s2.0-85053721716","Article","Y","N","N","0","0","3"
"1360536","162233","Department of Science and Humanities","Synthesis and characterization of Fly ash /Wooden fiber reinforced Epoxy resin polymer composite","2018","2018-01-01","Nithin Kumar N.;Siddeshchincholi ;Hegde P.R.;Shivagiri S.Y.;Revanasiddappa M.","Materials Today: Proceedings","5","501-507","1","10.1016/j.matpr.2017.11.111","2-s2.0-85041351428","Conference Paper","Y","N","N","8","10","4"
"1360537","162233","Department of Science and Humanities","Synthesis of polyaniline/ZrO<inf>2</inf> nanocomposites and their performance in AC conductivity and electrochemical supercapacitance","2016","2016-06-01","Prasanna B.P.;Avadhani D.N.;Muralidhara H.B.;Chaitra K.;Thomas V.R.;Revanasiddappa M.;Kathyayini N.","Bulletin of Materials Science","39","667-675","3","10.1007/s12034-016-1196-9","2-s2.0-84975152184","Article","Y","Y","N","49","41","3"
"1360538","162233","Department of Science and Humanities","Microwave synthesis, spectroscopic, thermal and biological studies of some transition metal complexes containing heterocyclic ligand","2015","2015-01-01","Ajbani J.C.;Smita Revankar D.;Revanasiddappa M.;Swamy V.;Shankar S.","International Journal of Chemical Sciences","13","1673-1692","4","","2-s2.0-84958183809","Article","Y","N","N","0","3","0"
"1360539","162787","Department of Science and Humanities","Dielectric property of NiTiO<inf>3</inf> doped substituted ortho-chloropolyaniline composites","2013","2013-11-01","Lakshmi M.;Roy A.S.;Khasim S.;Faisal M.;Sajjan K.C.;Revanasiddappa M.","AIP Advances","3","","11","10.1063/1.4832223","2-s2.0-84891524077","Article","Y","Y","N","17","18","1"
"1360540","162233","Department of Science and Humanities","Microstructural and microwave shielding characteristics of water-soluble polypyrrole-polyvinyl alcohol-graphite oxide core-shell nanocomposites","2012","2012-09-01","Basavaraja C.;Thinh P.;Kim W.;Revanasiddappa M.;Huh D.","Polymer Composites","33","1534-1540","9","10.1002/pc.22286","2-s2.0-84865384445","Article","Y","Y","N","11","12","4"
"1360541","162787","Department of Science and Humanities","Synthesis, characterization and magnetic properties of polyaniline/γ -Fe<inf>2</inf>O<inf>3</inf> composites","2011","2011-12-01","Khasim S.;Raghavendra S.C.;Revanasiddappa M.;Sajjan K.C.;Lakshmi M.;Faisal M.","Bulletin of Materials Science","34","1557-1561","7","10.1007/s12034-011-0358-z","2-s2.0-84872307840","Article","Y","Y","N","41","44","3"
"1360542","397797","Department of Science and Humanities","Assessment of groundwater quality in and around Bellary city of Karnataka, India","2009","2009-01-01","Suresh T.;Kottureshwara N.M.;Revanasiddappa M.","Nature Environment and Pollution Technology","8","683-692","4","","2-s2.0-78651533777","Article","Y","N","N","0","1","0"
"1360543","397797","Department of Science and Humanities","Physico-chemical characteristics of borewell waters of Bellary taluk, Karnataka, India","2009","2009-01-01","Suresh T.;Kottureshwara N.M.;Revanasiddappa M.;Suresh ","Nature Environment and Pollution Technology","8","417-428","3","","2-s2.0-78651587669","Article","Y","N","N","0","0","0"
"1360544","162233","Department of Science and Humanities","Synthetic, spectral and thermal studies of Tin(IV) complexes of 1, 5-benzodiazepines","2008","2008-01-01","Suresh ;Srinivas P.;Suresh T.;Revanasiddappa M.;Khasim S.","E-Journal of Chemistry","5","627-633","3","10.1155/2008/582797","2-s2.0-52649172752","Article","Y","N","N","2","4","1"
"1360545","162233","Department of Science and Humanities","The study of DC conductivity for polyaniline-polymannuronate nano composites","2008","2008-01-01","Basavaraja C.;Veeranagouda Y.;Lee K.;Pierson R.;Revanasiddappa M.;Huh D.","Bulletin of the Korean Chemical Society","29","2423-2426","12","10.5012/bkcs.2008.29.12.2423","2-s2.0-60149098447","Article","Y","N","N","11","12","3"
"1360546","162233","Department of Science and Humanities","Electrical conductivity studies on Co(II), Cu(II), Ni(II) and Cd(II) complexes of azines","2008","2008-01-01","Revanasiddappa M.;Khasim S.;Raghavendra S.C.;Basavaraja C.;Suresh T.;Angadi S.D.","E-Journal of Chemistry","5","797-801","4","10.1155/2008/353518","2-s2.0-57349188985","Article","Y","N","N","3","8","1"
"1360547","162233","Department of Science and Humanities","Transition metal complexes of 1, 4(2′-hydroxyphenyl-1-yl) di-imino azine: Synthesis, characterization and antimicrobial studies","2008","2008-01-01","Revanasiddappa M.;Suresh T.;Khasim S.;Raghavendray S.C.;Basavaraja C.;Angadi S.D.","E-Journal of Chemistry","5","395-403","2","10.1155/2008/328961","2-s2.0-47949089250","Article","Y","N","N","22","35","1"
"1360548","162233","Department of Science and Humanities","Preparation, characterization and low frequency a.c. conduction of polypyrrole-lead titanate composites","2007","2007-07-20","Basavaraja C.;Young M.C.;Hyun T.P.;Do S.H.;Jae W.L.;Revanasiddappa M.;Raghavendra S.C.;Khasim S.;Vishnuvardhan T.K.","Bulletin of the Korean Chemical Society","28","1104-1108","7","10.5012/bkcs.2007.28.7.1104","2-s2.0-34547461573","Article","Y","N","N","22","36","3"
"1360552","230261","Department of Computer Science Engineering","A New Activation Function for Artificial Neural Net Based Habitability Classification","2018","2018-11-30","Saha S.;Mathur A.;Bora K.;Basak S.;Agrawal S.","2018 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2018","","1781-1786","","10.1109/ICACCI.2018.8554460","2-s2.0-85060007274","Conference Paper","Y","N","N","6","6","4"
"1360553","163747","Department of Computer Science Engineering","The apartment service dispatch strategy and load estimation","2015","2015-12-01","Bora K.;Sinha S.","International Journal of Applied Engineering Research","10","43716-43721","23","","2-s2.0-84951873413","Article","Y","N","N","0","0","0"
"1360559","162801","Department of Computer Science Engineering","Prediction of Parkinson's disease using data mining","2018","2018-06-19","Sonu S.R.;Prakash V.;Ranjan R.;Saritha K.","2017 International Conference on Energy, Communication, Data Analytics and Soft Computing, ICECDS 2017","","1082-1085","","10.1109/ICECDS.2017.8389605","2-s2.0-85050086491","Conference Paper","Y","N","N","16","15","4"
"1360563","452604","Department of Science and Humanities","Viscous dissipation impact on electrical resistance heating distributed Carreau nanoliquid along stretching sheet with zero mass flux","2020","2020-09-01","Sreenivasulu P.;Poornima T.;Malleswari B.;Bhaskar Reddy N.;Souayeh B.","European Physical Journal Plus","135","","9","10.1140/epjp/s13360-020-00680-6","2-s2.0-85090331763","Article","Y","Y","N","5","9","4"
"1365432","94437","Department of Mechanical Engineering","Optimum Hydrodynamic Journal Bearing Performance Characteristics in High-Speed and High-Power Gearboxes","2021","2021-02-01","","Journal of The Institution of Engineers (India): Series C","102","235-242","1","10.1007/s40032-020-00620-4","2-s2.0-85091772280","Article","Y","N","N","0","0","4"
"1366593","140829","Department of Mechanical Engineering","Effect of multiple reinforcements (CNT/Si<inf>3</inf>N<inf>4</inf>) on hardness, electrical conductivity and friction coefficient of aluminium hybrid composites","2020","2020-03-16","Sethurama D.;Keshavamurthy R.;Paljor S.;Rohit P.E.;Koppad P.G.","Journal of Physics: Conference Series","1455","","1","10.1088/1742-6596/1455/1/012011","2-s2.0-85082599074","Conference Paper","Y","N","N","6","9","1"
"1366856","170075","Department of Science and Humanities","An innovative approach to find the initial solution of a fuzzy transportation problem","2019","2019-12-04","Kumar R.R.;Gupta R.;Karthiyayini O.;Vatsala G.A.","AIP Conference Proceedings","2177","","","10.1063/1.5135258","2-s2.0-85076725511","Conference Paper","Y","N","N","0","0","4"
"1370600","169032","Department of Management Studies","PARTICIPATION OF RURAL HOUSEHOLDS IN FARM, NON-FARM AND PLURI-ACTIVITY: EVIDENCES FROM INDIA","2018","0000-00-00","Subramanian, S","ISEC-Working Paper","412","","","","","article","N","N","N","","",""
"1370601","169032","Department of Management Studies","Rural and Agricultural Employment Conundrum","2018","0000-00-00","Deshpande, RS and Subramanian, S","Review of Market Integration","10","104--119","","","","article","N","N","Y","","",""
